S_T code,S_T name,SA3 code,SA3 name,SA2 code,SA2 name
4,South Australia,40101,Adelaide City,401011001,Adelaide
4,South Australia,40101,Adelaide City,401011002,North Adelaide
4,South Australia,40102,Adelaide Hills,401021003,Adelaide Hills
4,South Australia,40102,Adelaide Hills,401021004,Aldgate - Stirling
4,South Australia,40102,Adelaide Hills,401021005,Hahndorf - Echunga
4,South Australia,40102,Adelaide Hills,401021006,Lobethal - Woodside
4,South Australia,40102,Adelaide Hills,401021007,Mount Barker
4,South Australia,40102,Adelaide Hills,401021008,Mount Barker Surrounds
4,South Australia,40102,Adelaide Hills,401021009,Nairne
4,South Australia,40102,Adelaide Hills,401021010,Uraidla - Summertown
4,South Australia,40103,Burnside,401031011,Burnside - Wattle Park
4,South Australia,40103,Burnside,401031012,Beaumont - Glen Osmond
4,South Australia,40103,Burnside,401031013,Toorak Gardens
4,South Australia,40104,Campbelltown (SA),401041014,Athelstone
4,South Australia,40104,Campbelltown (SA),401041015,Paradise - Newton
4,South Australia,40104,Campbelltown (SA),401041016,Rostrevor - Magill
4,South Australia,40105,Norwood - Payneham - St Peters,401051017,Norwood (SA)
4,South Australia,40105,Norwood - Payneham - St Peters,401051018,Payneham - Felixstow
4,South Australia,40105,Norwood - Payneham - St Peters,401051019,St Peters - Marden
4,South Australia,40106,Prospect - Walkerville,401061020,Nailsworth - Broadview
4,South Australia,40106,Prospect - Walkerville,401061021,Prospect
4,South Australia,40106,Prospect - Walkerville,401061022,Walkerville
4,South Australia,40107,Unley,401071023,Goodwood - Millswood
4,South Australia,40107,Unley,401071024,Unley - Parkside
4,South Australia,40201,Gawler - Two Wells,402011025,Gawler - North
4,South Australia,40201,Gawler - Two Wells,402011026,Gawler - South
4,South Australia,40201,Gawler - Two Wells,402011027,Lewiston - Two Wells
4,South Australia,40202,Playford,402021028,Craigmore - Blakeview
4,South Australia,40202,Playford,402021029,Davoren Park
4,South Australia,40202,Playford,402021030,Elizabeth
4,South Australia,40202,Playford,402021031,Elizabeth East
4,South Australia,40202,Playford,402021032,Munno Para West - Angle Vale
4,South Australia,40202,Playford,402021033,One Tree Hill
4,South Australia,40202,Playford,402021034,Smithfield - Elizabeth North
4,South Australia,40202,Playford,402021035,Virginia - Waterloo Corner
4,South Australia,40203,Port Adelaide - East,402031036,Enfield - Blair Athol
4,South Australia,40203,Port Adelaide - East,402031038,Windsor Gardens
4,South Australia,40203,Port Adelaide - East,402031175,Northgate - Northfield
4,South Australia,40203,Port Adelaide - East,402031176,Valley View - Gilles Plains
4,South Australia,40204,Salisbury,402041039,Dry Creek - North
